Tweet,Sentiment
Here it is... Adam Ondra's 'Silence' movie! https://t.co/6oUapyOnGa,neutral
RT @EpicTVClimbing: All the week's climbing news from Adam Ondra's Silence to Denis Urubko's winter solo ascent attempt of K2.,neutral
https://t.c…,neutral
All the week's climbing news from Adam Ondra's Silence to Denis Urubko's winter solo ascent attempt of K2.… https://t.co/MrBUnzjcck,neutral
All the week's climbing news from Adam Ondra's Silence to Denis Urubko's winter solo ascent attempt of K2.… https://t.co/hUmDSbQUA6,neutral
"RT @4sportua: Adam Ondra send 9a at the climbing gym in #Warsaw with elements of ""#Silence"" 9c. VIDEO",neutral
https://t.co/XdKI4HBWhb https://t.co/…,neutral
"I never did a lot of climbing, but 5.11 was just out of my league. Watching Adam Ondra climb the hardest route in t… https://t.co/nvWz4DZaqq",neutral
The video of Adam Ondra sending Silence 5.15d/9c has been released. Be sure to watch it and then read Eric... https://t.co/Hoj4TsCwRC,neutral
Amazing climbing project (first 9c) by Adam Ondra: Silence https://t.co/26yXK9dWvG #climbing,neutral
"Adam Ondra send 9a at the climbing gym in #Warsaw with elements of ""#Silence"" 9c. VIDEO",neutral
https://t.co/XdKI4HBWhb https://t.co/8ou24yxoAd,neutral
Always impressed by Adam Ondra's commitment to pushing his limits and the limits of climbing.,neutral
17 minutes to... https://t.co/1QXWtPcSHX,neutral
"RT @climbinganchors: You've probably seen it but incase you havn't, Adam Ondra's send of 'Silence' is one not to be missed.... https://t.co…",negative
"RT @lasportivatwitt: #ICYMI: the world's first 9c movie is available free to watch on YouTube, thanks to protagonist Adam Ondra and directo…",neutral
"RT @rockandice: Daniel Woods attains new personal heights by making the third ascent of Adam Ondra’s La Capella (9b/5.15b) in Siurana, Spai…",neutral
"RT rockandice ""Daniel Woods attains new personal heights by making the third ascent of Adam Ondra’s La Capella (9b/… https://t.co/PN58BeTyzg",neutral
"I liked a @YouTube video https://t.co/g56VdfG1we Brian On The Bog Adam Ondra Dawn Wall Special | Climbing Daily, Ep.818",neutral
I liked a @YouTube video https://t.co/EMWidTGoG4 Adam Ondra Prepares For Final Push On Dawn Wall | Climbing Daily Ep.813,neutral
"You've probably seen it but incase you havn't, Adam Ondra's send of 'Silence' is one not to be missed.... https://t.co/NlBhvIj8gA",negative
I liked a @YouTube video https://t.co/K0RVs1MlrC Adam Ondra Update: Straight From The Bog | Climbing Daily Ep.805,neutral
